DEPTH,BVW,KLOGH,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
3576.073152,0.0319,6.185299873,0.299400002,80.59269714,39.4355011,0.164000005,4.737199783,2.32859993,34.89820099,Sandstone
3576.225552,0.032600001,5.150800228,0.307000011,81.86620331,40.30979919,0.163699999,4.6875,2.332299948,32.95800018,Sandstone
3576.377953,0.030200001,7.274799824,0.290100008,83.43789673,38.36169815,0.156499997,4.431000233,2.324800014,39.34460068,Sandstone
3576.530353,0.029999999,9.028599739,0.278499991,83.09809875,37.02780151,0.151199996,4.053800106,2.32249999,39.76819992,Sandstone
3576.682753,0.0277,10.69330025,0.271800011,86.00679779,36.25360107,0.148000002,3.715399981,2.314100027,48.56330109,Sandstone
3576.835154,0.0285,14.09809971,0.261299998,84.8010025,35.05020142,0.162799999,3.393699884,2.321899891,45.44860077,Sandstone
3576.987554,0.027000001,16.32869911,0.252799988,84.94599915,34.07300186,0.159899995,3.092600107,2.32310009,51.12879944,Sandstone
3577.139954,0.025900001,19.32189941,0.238499999,86.57879639,32.42480087,0.145099998,2.827800035,2.326200008,55.19940186,Sandstone
3577.292355,0.0262,21.98730087,0.232600003,85.72619629,31.75160027,0.146699995,2.743099928,2.326900005,53.48270035,Sandstone
3577.444755,0.024499999,23.54990005,0.229000002,85.36119843,31.33600044,0.144899994,2.674099922,2.325700045,63.05220032,Sandstone
3577.597155,0.0253,32.07559967,0.218199998,84.21849823,30.09350014,0.149800003,2.647900105,2.318000078,58.37720108,Sandstone
3577.749555,0.0253,50.24769974,0.207100004,83.93219757,28.8166008,0.151099995,2.656399965,2.28489995,60.16350174,Sandstone
3577.901956,0.0251,89.25980377,0.194700003,84.51470184,27.39220047,0.164100006,2.718499899,2.249700069,64.11299896,Sandstone
3578.054356,0.0263,120.9160995,0.188500002,84.81790161,26.67779922,0.158600003,2.727200031,2.215600014,58.17020035,Sandstone
3578.206756,0.026699999,156.1504974,0.182899997,85.29530334,26.0279007,0.160500005,2.616899967,2.195899963,56.95500183,Sandstone
3578.359157,0.027899999,164.0368042,0.183799997,86.58989716,26.13229942,0.170699999,2.5704,2.197000027,51.6780014,Sandstone
3578.511557,0.028200001,185.2449951,0.178200006,85.97429657,25.49609947,0.171700001,2.503400087,2.197099924,50.52119827,Sandstone
3578.663957,0.028200001,168.5832062,0.179100007,85.53220367,25.5916996,0.175899997,2.536999941,2.21420002,49.84500122,Sandstone
3578.816358,0.0272,161.6228027,0.185599998,86.96219635,26.34210014,0.180099994,2.679699898,2.204299927,55.59209824,Sandstone
3578.968758,0.0287,149.6083069,0.190400004,89.88929749,26.89529991,0.176799998,2.859699965,2.196899891,48.87200165,Sandstone
3579.121158,0.028100001,152.2935028,0.195099995,89.43520355,27.43759918,0.1796,2.852900028,2.181900024,52.37139893,Sandstone
3579.273559,0.0297,194.2922058,0.188199997,88.02059937,26.64389992,0.180399999,2.762900114,2.16689992,46.0951004,Sandstone
3579.425959,0.0288,322.9258118,0.171100006,90.24040222,24.67230034,0.185800001,2.778899908,2.148999929,50.38290024,Sandstone
3579.578359,0.0294,407.5320129,0.162200004,88.99449921,23.65810013,0.188999996,2.886100054,2.144900084,47.79190063,Sandstone
3579.730759,0.030300001,386.2460938,0.155499995,88.82170105,22.88400078,0.177100003,2.928299904,2.161600113,43.34859848,Sandstone
3579.88316,0.0285,269.0367126,0.161799997,87.96779633,23.60320091,0.175400004,2.931799889,2.19630003,48.81000137,Sandstone
3580.03556,0.0272,290.4396057,0.154300004,85.8572998,22.74010086,0.172600001,2.865700006,2.205499887,53.92179871,Sandstone
3580.18796,0.027799999,429.7385864,0.136299998,82.66719818,20.67980003,0.175899997,2.765000105,2.206099987,50.95299911,Sandstone
3580.340361,0.0266,508.6820068,0.131799996,81.56009674,20.15509987,0.177399993,2.593699932,2.196199894,57.51860046,Sandstone
3580.492761,0.0276,694.3787842,0.119000003,80.68930054,18.68989944,0.185900003,2.621400118,2.198600054,52.64920044,Sandstone
3580.645161,0.028899999,627.8342285,0.123999998,79.83889771,19.2656002,0.184799999,2.657000065,2.196899891,46.81140137,Sandstone
3580.797562,0.0284,905.5391846,0.114799999,81.68419647,18.2045002,0.202099994,2.765700102,2.18930006,49.98590088,Sandstone
3580.949962,0.0288,634.9595947,0.132799998,82.67710114,20.26849937,0.194399998,2.883599997,2.177700043,48.79069901,Sandstone
3581.102362,0.0295,495.3110046,0.139699996,83.34909821,21.06640053,0.184799999,2.838500023,2.183000088,45.36420059,Sandstone
3581.254763,0.030300001,439.2977905,0.142700002,83.30740356,21.40920067,0.189300001,2.605000019,2.19749999,42.26879883,Sandstone
3581.407163,0.0308,494.3717957,0.127399996,83.5358963,19.65629959,0.186399996,2.299299955,2.225399971,39.17879868,Sandstone
3581.559563,0.031399999,458.1626892,0.127800003,82.66290283,19.69930077,0.181500003,2.228100061,2.230499983,37.11529922,Sandstone
3581.711963,0.0317,380.0759888,0.134000003,79.95510101,20.41110039,0.172299996,2.285399914,2.229099989,36.12659836,Sandstone
3581.864364,0.032499999,279.2137146,0.150000006,78.64279938,22.24510002,0.171100006,2.328799963,2.22420001,34.33060074,Sandstone
3582.016764,0.032900002,221.4306946,0.161200002,78.37840271,23.53879929,0.1752,2.291599989,2.228699923,33.41249847,Sandstone
3582.169164,0.033,205.8218994,0.168799996,78.41750336,24.41230011,0.187000006,2.312200069,2.229099989,33.64519882,Sandstone
3582.321565,0.032900002,231.7870026,0.158399999,78.37580109,23.21769905,0.1743,2.379300117,2.229599953,33.43159866,Sandstone
3582.473965,0.033500001,310.755188,0.146599993,78.92539978,21.85379982,0.178399995,2.424200058,2.226900101,32.01570129,Sandstone
3582.626365,0.033599999,294.2493896,0.148399994,81.32389832,22.06369972,0.178299993,2.450099945,2.22939992,31.66020012,Sandstone
3582.778766,0.034000002,214.3153076,0.166999996,83.94850159,24.20999908,0.187900007,2.399100065,2.229599953,31.41559982,Sandstone
3582.931166,0.0337,173.2485046,0.175699994,84.65499878,25.20339966,0.180999994,2.357899904,2.226900101,31.92270088,Sandstone
3583.083566,0.0337,159.2368011,0.176499993,85.76139832,25.29450035,0.169799998,2.290400028,2.224600077,31.8118,Sandstone
3583.235966,0.033300001,182.7494049,0.1708,85.66339874,24.64410019,0.171900004,2.258300066,2.223799944,32.57350159,Sandstone
3583.388367,0.033100002,202.9965973,0.165700004,85.50610352,24.05730057,0.174899995,2.290800095,2.227400064,33.11669922,Sandstone
3583.540767,0.033100002,236.3385925,0.154899999,84.16919708,22.81509972,0.173099995,2.334800005,2.236599922,32.58929825,Sandstone
3583.693167,0.032400001,230.3128967,0.149700001,84.29470062,22.2173996,0.168200001,2.369199991,2.252099991,33.60419846,Sandstone
3583.845568,0.031500001,234.6253967,0.144400001,86.34449768,21.60790062,0.166500002,2.389100075,2.264499903,35.55009842,Sandstone
