DEPTH,BVW,KLOGH,PHIF,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
4003.6,0.022,169.285,0.253,0.2,,29.381,0.202,4.613,2.176,98.427,Sandstone
4003.7,0.022,178.5,0.254,0.198,,29.112,0.206,4.635,2.18,95.153,Sandstone
4003.8,0.021,184.211,0.255,0.197,,29.03,0.212,4.669,2.184,108.573,Sandstone
4003.9,0.02,164.487,0.255,0.203,,29.717,0.219,4.714,2.191,167.833,Sandstone
4004,0.02,149.153,0.254,0.206,,30.169,0.224,4.77,2.201,451.806,Sandstone
4004.1,0.021,120.323,0.251,0.214,,31.174,0.229,4.832,2.213,1965.861,Sandstone
4004.2,0.021,120.163,0.247,0.211,,30.745,0.23,4.873,2.226,62117.23,Sandstone
4004.3,0.021,105.58,0.242,0.213,,30.941,0.227,4.866,2.238,814.349,Sandstone
4004.4,0.021,89.185,0.237,0.217,,31.427,0.22,4.802,2.244,29.718,Sandstone
4004.5,0.046,100.758,0.236,0.209,,30.524,0.214,4.714,2.242,15.638,Sandstone
4004.6,0.038,115.083,0.237,0.204,,29.893,0.212,4.656,2.235,25.64,Sandstone
4004.7,0.025,99.231,0.238,0.212,,30.881,0.211,4.676,2.23,70.18,Sandstone
4004.8,0.026,102.37,0.235,0.208,,30.345,0.208,4.795,2.237,65.669,Sandstone
4004.9,0.048,74.462,0.227,0.216,,31.308,0.205,4.999,2.257,13.824,Sandstone
4005,0.07,72.626,0.211,0.203,,29.79,0.192,5.262,2.287,5.335,Sandstone
4005.1,0.06,72.116,0.196,0.19,,28.198,0.181,5.545,2.318,7.378,Silt
4005.2,0.057,88.267,0.184,0.17,,25.712,0.174,5.801,2.345,7.896,Silt
4005.3,0.055,113.937,0.176,0.15,,23.347,0.173,5.995,2.367,8.573,Silt
4005.4,0.052,117.774,0.17,0.143,,22.492,0.177,6.102,2.39,9.491,Silt
4005.5,0.035,111.988,0.164,0.14,,22.083,0.181,6.1,2.413,25.149,Silt
4005.6,0.024,132.48,0.157,0.126,,20.407,0.181,5.996,2.432,61.961,Silt
4005.7,0.026,149.894,0.155,0.118,,19.408,0.177,5.826,2.434,49.279,Silt
4005.8,0.031,171.01,0.159,0.115,,19.07,0.172,5.649,2.416,30.679,Silt
4005.9,0.034,198.921,0.168,0.116,,19.13,0.167,5.525,2.385,26.775,Silt
4006,0.029,272.364,0.177,0.109,,18.307,0.165,5.49,2.356,40.624,Silt
4006.1,0.029,294.695,0.184,0.111,,18.571,0.167,5.534,2.338,41.674,Silt
4006.2,0.029,251.339,0.188,0.122,,19.908,0.171,5.631,2.332,42.723,Silt
4006.3,0.028,248.179,0.187,0.123,,19.968,0.175,5.774,2.336,46.202,Silt
4006.4,0.026,253.754,0.183,0.118,,19.353,0.177,5.959,2.352,53.087,Silt
4006.5,0.026,207.622,0.169,0.115,,19.065,0.169,6.177,2.382,49.402,Silt
4006.6,0.027,155.421,0.147,0.11,,18.376,0.152,6.394,2.427,42.497,Silt
4006.7,0.026,87.697,0.122,0.115,,19.012,0.136,6.589,2.482,40.865,Silt
4006.8,0.025,64.933,0.097,0.108,,18.105,0.122,6.756,2.538,40.181,Silt
4006.9,0.02,26.815,0.037,0.097,,16.787,0.111,6.871,2.585,38.747,Silt
4007,0.017,22.115,0.02,0.091,,16.054,0.103,6.879,2.618,38.919,Silt
4007.1,0.017,20.226,0.02,0.095,,16.577,0.095,6.759,2.637,38.245,Silt
4007.2,0.017,21.552,0.02,0.092,,16.204,0.089,6.541,2.648,37.465,Silt
4007.3,0.017,20.883,0.02,0.093,,16.394,0.088,6.308,2.651,37.378,Silt
4007.4,0.018,15.844,0.02,0.107,,18.016,0.085,6.131,2.64,36.885,Silt
4007.5,0.018,15.177,0.022,0.11,,18.469,0.092,6.036,2.611,38.966,Silt
4007.6,0.024,54.137,0.078,0.099,,17.102,0.098,5.989,2.565,38.787,Sandstone
4007.7,0.025,87.277,0.099,0.095,,16.587,0.104,5.948,2.51,39.664,Sandstone
4007.8,0.026,127.278,0.119,0.094,,16.435,0.11,5.895,2.461,40.232,Sandstone
4007.9,0.027,160.282,0.133,0.095,,16.639,0.114,5.834,2.424,40.082,Sandstone
4008,0.027,202.775,0.142,0.092,,16.248,0.117,5.766,2.401,40.52,Sandstone
